rank,programme_name,institution,job_title,employer_sector,location,job_url,hybrid_score,semantic_score,top_skill_gaps
4,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT skyriaus administratorius (-ė),,Klaipėda,https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.174,0.5014,English; Russian; plan; business management principles; apply information security policies; negotiate compromises; manage closed-circuit television system; trademarks; apply change management
5,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,KIBERNETINIO SAUGUMO VADOVAS (-Ė),,Kaunas,https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.1622,0.5673,apply change management; digital data processing; security regulations; Python (computer programming); penetration testing tool; think critically
6,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/it-inzinierius-e-vilniuje/1-13713495,0.1448,0.4993,English; plan; digital data processing; computer programming
7,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT sistemų administratorius (-ė),,Vilnius,https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13756627,0.1421,0.5122,philosophy; operating systems; digital data processing; manage time; assume responsibility; network standards; electrical equipment components; mechanical systems; think analytically; SQL
8,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,.NET Developer,,Kaunas,https://en.cvbankas.lt/net-developer-kaune/1-13546657,0.1308,0.5075,JavaScript; style sheet languages; ICT project management methodologies; SQL; SQL Server; web services; environmental engineering; financial management
9,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IRT specialistas (-ė) (SOC ir IT saugos sritis) | Technologijų skyrius,,Vilnius,https://en.cvbankas.lt/irt-specialistas-e-soc-ir-it-saugos-sritis-technologiju-skyrius-vilniuje/1-13733709,0.1303,0.5098,English; in-circuit test; operating systems; digital identity management; digital data processing; negotiate compromises; manage time; advise others; computer programming; provide information
10,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,SOC analitikas (-ė) kibernetinių grėsmių paieškai,,Vilnius,https://en.cvbankas.lt/soc-analitikas-e-kibernetiniu-gresmiu-paieskai-vilniuje/1-13395656,0.1259,0.5111,English; Python (computer programming); computer programming; penetration testing tool; think critically; apply change management; digital data processing; security regulations; apply information security policies; ICT security standards
1,Information Systems,Kaunas University of Technology,IT sistemų testuotojas (-a),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.2621,0.5121,MySQL; morality; computer technology; SQL; meet deadlines; accounting; document evidence
2,Information Systems,Kaunas University of Technology,Verslo sistemų ir procesų analitikas (-ė),,Vilnius,https://en.cvbankas.lt/verslo-sistemu-ir-procesu-analitikas-e-vilniuje/1-13699299,0.2146,0.5129,digitization; perform project management; Python (computer programming); manage time; computer technology; SQL; digital data processing; improve business processes
3,Information Systems,Kaunas University of Technology,VYR. DUOMENŲ ANALITIKAS (-Ė),,Vilnius,https://en.cvbankas.lt/vyr-duomenu-analitikas-e-vilniuje/1-13739827,0.2124,0.5165,"data analytics; digitization; management department processes; SQL; think analytically; SQL Server; data extraction, transformation and loading tools; data models; Python (computer programming); apply information security policies"
4,Information Systems,Kaunas University of Technology,IT sistemų testuotojas (-a),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.2091,0.5139,MySQL; morality; computer technology; SQL; think analytically
5,Information Systems,Kaunas University of Technology,IT skyriaus administratorius (-ė),,Klaipėda,https://en.cvbankas.lt/it-skyriaus-administratorius-e-klaipedoje/1-13740999,0.1948,0.5215,Lithuanian; Russian; business management principles; apply information security policies; negotiate compromises; computer technology; manage closed-circuit television system; trademarks; cyber security; apply change management
6,Information Systems,Kaunas University of Technology,Duomenų inžinierius (-ė) – analitikas (-ė),,Kaunas,https://en.cvbankas.lt/duomenu-inzinierius-e-analitikas-e-kaune/1-13706283,0.1905,0.5216,"SQL Server; data extraction, transformation and loading tools; data analytics; data models; Python (computer programming); apply information security policies; digital data processing; assume responsibility; interact verbally in English; SQL"
7,Information Systems,Kaunas University of Technology,Join our team as a JUNIOR System Analyst!,,Work from home,https://en.cvbankas.lt/join-our-team-as-a-junior-system-analyst-darbas-namuose/1-13699867,0.188,0.5377,design principles; meet deadlines; manage time; team building; improve business processes; report facts; apply information security policies; adopt ways to reduce pollution; schedule production; think critically
8,Information Systems,Kaunas University of Technology,DATA ENGINEER with verification,,Lithuania (Remote),https://www.linkedin.com/jobs/view/4328710459/?eBP=CwEAAAGdXVTxFfylTwn5FhVuExSS7O-QXtgOj66BYmJuT5ZfOGG6DXV-oxGHbbtbJgiMgw4aIbELH0z0XdfK0KxiiVLl5qoU_qaRDBIAtoH7rHeH63gx-MsOsG4jNF1YJz7qO6rHJrt4UXi6PklDI9PiknyDtc45vcS-SRwv9JsqlXcmnzIuMDQMAZrNjYRYwsaWOqxkSeTrgF0-7kSy0R4UUFQVnU3bJaoCFX8H53e-Ji-c6X1YoegRyKsZQIZxZKAQnimjF6Hc56yr8jj13jo8g8UvIdDQHACtd6sTRMgZa_9fZVUaMwmZhQdOgtsGMLC-j20oepaYXfUXBTIXvNuT28H8awvc3wmt3VIfqa9z3wDd79JuqGUPDdId2b1fsQhbsvdbGSj7aHxRfmqKSb1rQ92bDSswLi46M189lsUQyU11HAYoluucRLLjaIqqDrFG0k9FK8ou5gk5_VexVfZW_FIy7nRx_36ni7VgVlTD50VQWLiHl_p1yOOVyc6LzuEem6ITm887Tgmia67EAVVRRXvW5NAczFSpJp4tug&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=XMB19EEnT64C5KFJO5HxtA%3D%3D&trk=flagship3_search_srp_jobs,0.1829,0.537,"ICT project management methodologies; data extraction, transformation and loading tools; troubleshoot; blueprints; automation technology; Python (computer programming); tools for software configuration management; data protection; Source (digital game creation systems); computer technology"
9,Information Systems,Kaunas University of Technology,IT ADMINISTRATORIUS (-Ė),,Klaipėda,https://en.cvbankas.lt/it-administratorius-e-klaipedoje/1-13759179,0.179,0.5324,customer relationship management; troubleshoot; make decisions; manage time; accounting; automation technology; mechanical systems; computer technology
10,Information Systems,Kaunas University of Technology,Pardavimų inžinierius (-ė) KLAIPĖDA,,Klaipėda,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.1698,0.5279,business analytics; manage time; make decisions; computer technology
1,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.3344,0.5571,MySQL; SQL; meet deadlines; document evidence
2,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13736493,0.2674,0.5543,MySQL; SQL
3,Information Systems,Vilnius Gediminas Technical University,IT System Team Coordinator,,Vilnius,https://en.cvbankas.lt/it-system-team-coordinator-vilniuje/1-13766799,0.2584,0.5262,solve problems; consultation; business analysis; work independently; ecosystems; web services; ICT system integration; show entrepreneurial spirit; periodisation
4,Information Systems,Vilnius Gediminas Technical University,Duomenų analitikas (-ė) - inžinierius (-ė),,Kaunas,https://en.cvbankas.lt/duomenu-analitikas-e-inzinierius-e-kaune/1-13743279,0.2307,0.5316,"data extraction, transformation and loading tools; SQL"
5,Information Systems,Vilnius Gediminas Technical University,Pardavimų inžinierius (-ė) KLAIPĖDA,,Klaipėda,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.1858,0.5506,business analytics; work independently; manage time
6,Information Systems,Vilnius Gediminas Technical University,B2B IT Projektų vadovas (-ė),,Vilnius,https://en.cvbankas.lt/b2b-it-projektu-vadovas-e-vilniuje/1-13758119,0.1777,0.5467,perform project management; assume responsibility; manage time; solve problems; digitization; work in teams; ICT project management methodologies; give massages; improve business processes; lead others
7,Information Systems,Vilnius Gediminas Technical University,Duomenų inžinierius (-ė) – analitikas (-ė),,Kaunas,https://en.cvbankas.lt/duomenu-inzinierius-e-analitikas-e-kaune/1-13706283,0.1677,0.5331,"SQL Server; data extraction, transformation and loading tools; data analytics; data models; Python (computer programming); apply information security policies; digital data processing; assume responsibility; interact verbally in English; SQL"
8,Information Systems,Vilnius Gediminas Technical University,Vyriausiasis (-oji) duomenų inžinierius (-ė),,Vilnius,https://en.cvbankas.lt/vyriausiasis-oji-duomenu-inzinierius-e-vilniuje/1-13752215,0.1642,0.5272,"migration; data models; Python (computer programming); digital data processing; data extraction, transformation and loading tools; SQL; data engineering; business intelligence; information architecture; SQL Server"
9,Information Systems,Vilnius Gediminas Technical University,BI programuotojas (-a),,Kaunas,https://en.cvbankas.lt/bi-programuotojas-a-kaune/1-13753903,0.1508,0.5305,SQL; business intelligence
10,Information Systems,Vilnius Gediminas Technical University,Sistemos ekspertas (-ė),,Vilnius,https://en.cvbankas.lt/sistemos-ekspertas-e-vilniuje/1-13751383,0.1424,0.556,troubleshoot; organise training; manage time; maintenance operations; work independently; transportation engineering; solve problems; consultation; work in teams; migration
1,Marketing Technologies,Vilnius University,"Analytics Engineer, Marketing DSA with verification",,"Vilnius, Vilniaus, Lithuania",https://www.linkedin.com/jobs/view/4383765010/?eBP=CwEAAAGdXVTxFLoxuruRUTIWC7aXpyxmd_rYd3jzSZrZQ_aGLu302_a660iNkbLI-Cs9w0z9tCLfUHZ5xPx38lbPUmXhbJIEDKu7k51R00X2CSRdwcYxVv3Xvhdlpw3dVkFp5MRi0vNiT8cC28QYzse3EEVU1dlGt4Nlq7XMonrGvfXj_m138pGwf-UfvFa0h7bbkuXKVhahSBIaaeWcUA4sqy2qPp3k97cQY5TU7VxUczd7mHASGtKOK5zqSqOph2lZ9xRdy5MX1_whxVbUjHhRRY6DQ0bhRjDEfYsYITPInRM9fZ1eYnWqz_Ycgq8Ci__fkcGAtZpelCdu_7ETpsp6cJUL_WOtuAeuWVDnsTupPRRBSKYTjjlN2v9PNnM_jeEtKaOUWL3yaJ3syiIVaHG-WyyxRgAAvESz4Ee7R-KqaH7nF52EqFsKpf_NAW7QtZT-ztcCrmeM75Hl72nPCGgFss2nfz1_NmjPXusgeaNCQ4i1rA78qZbuifuH3KiRpy4BNZ909UP1ToUFUZXFdiW8uXycqKUV-lFiZk0HiQ&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=h3MUKOIPXw1Bhio%2BT1QZnA%3D%3D&trk=flagship3_search_srp_jobs,0.4675,0.455,data engineering; SQL; data science; Python (computer programming); tools for software configuration management; dies; make decisions; data models; ICT project management methodologies; MySQL
2,Marketing Technologies,Vilnius University,Marketingo ir pardavimų vadovo asistentas (-ė),,Vilnius,https://en.cvbankas.lt/marketingo-ir-pardavimu-vadovo-asistentas-e-vilniuje/1-13288765,0.24,0.5156,customer relationship management; team building; perform project management; manage time; lead others; electronic communication
3,Marketing Technologies,Vilnius University,E-commerce Customer Success Manager (Account Manager),,Vilnius,https://en.cvbankas.lt/e-commerce-customer-success-manager-account-manager-vilniuje/1-13619331,0.2393,0.4871,Lithuanian; lead others; trademarks
4,Marketing Technologies,Vilnius University,Join our Marketing Team as a Website and Content Specialist,,Šiauliai,https://en.cvbankas.lt/join-our-marketing-team-as-a-website-and-content-specialist-siauliuose/1-13746459,0.2239,0.5486,team building; lead others; assume responsibility; adopt ways to reduce pollution; TypeScript; JavaScript; PostgreSQL; style sheet languages; Python (computer programming); financial forecasting
5,Marketing Technologies,Vilnius University,Supply Chain Continuous Improvement Intern,,Vilnius,https://en.cvbankas.lt/supply-chain-continuous-improvement-intern-vilniuje/1-13716155,0.2192,0.5041,SAP Data Services; environmental engineering; demonstrate curiosity
6,Marketing Technologies,Vilnius University,Mid/Senior Meta Media Buyer,,Vilnius,https://en.cvbankas.lt/mid-senior-meta-media-buyer-vilniuje/1-13757529,0.2157,0.468,Lithuanian; think analytically
7,Marketing Technologies,Vilnius University,Associate Data Engineer with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4383917782/?eBP=CwEAAAGdXVJvGQUVxTx-5JV5SxwZr4iay8a2Jxhh9v1T57lab3xyF-C0Vn033ov2DjEak78uVoqZbtM1oxjnZZO7YOGsgcfPJ2KJyy9d_53inZVefEmD-Z6mK8b-pz3B_4j3W9qPz5QIj9QeQJ1v80KMfDA8CRQPLRYAJ2Hw3iMFkfpUz90fi1Un-4KMYVvheyUipKyQ4mHHrH6tPbXbQa2OYS32QHwHbLQum_ZnqF0ydBxADvrWiQfEnm8GBJvkCz4FDbpMusmAoTUUThaHi0J0gLiHnT7YU0q3XInmfBp_1BcK8pYFBa1l1Fl9a80wnAUFWB6A04PRn9tYjwBRjOyq8sxzriridYB0oLcjTjb8kyM0XM6w3IJCbiUpR6c6PiA8ljTdKekdxf7qVBBKwqK_i8zHTRYSInNVW2drRy_kyfASusAogBx2S8yRy0EPSD1naBdysJWXnt_MxVghhobULeso1rDmF2lhsk-B_pRI0gMRiEb-Pxox-wLg9t16ks6m1weII6A6lP5kBWi7bKa9KSwyhvLdLEnV&refId=oGrIqh2UiA%2B55SwayS87gA%3D%3D&trackingId=IgK6sWDz7yNsd122YUdOSA%3D%3D&trk=flagship3_search_srp_jobs,0.1834,0.473,style sheet languages; JavaScript; computer programming; troubleshoot; market analysis; think analytically; demonstrate curiosity
8,Marketing Technologies,Vilnius University,Account Manager,,Vilnius,https://en.cvbankas.lt/account-manager-vilniuje/1-12916695,0.182,0.4789,Lithuanian; customer relationship management; digital media; manage time; assume responsibility
9,Marketing Technologies,Vilnius University,Product Manager,,Vilnius,https://en.cvbankas.lt/product-manager-vilniuje/1-13725955,0.1357,0.4867,"ICT project management methodologies; lead others; trademarks; promote ideas, products, services; perform procurement processes; Agile development; ecosystems; team building; build trust; human resource management"
10,Marketing Technologies,Vilnius University,Informacijos saugos specialistas (-ė),,Vilnius,https://en.cvbankas.lt/informacijos-saugos-specialistas-e-vilniuje/1-13751575,0.1332,0.4954,apply information security policies; think analytically; security regulations; ICT security standards; manage time; provide information; assume responsibility; Lithuanian; computer programming; Python (computer programming)
1,Bioinformatics,Vilnius University,Data Analyst SQL Python with verification,,"Vilnius, Vilniaus, Lithuania (On-site)",https://www.linkedin.com/jobs/view/4391573444/?eBP=CwEAAAGdXVdr84CepMMYTlBo5gqsfx3OqKv-vNV8IRxcfn7VTiOvWGrABrFAKKwrHZYyYuAi3aBixfQrgghOsyc6nuDZEsXXWYPD0UVb_oR9bP5xheghUzXksS3Q9PETd1JFX-M9la09sjqN9SUzl_yGlkoLwluByRayqvyAVbwG5ZRZl9_66P-6Jw_8jqCIYnUiIUitESsjR7-4rYSlGQX_G_Yp6P91vEfTpcIIZYEO7RHiG0V5dVcGatPUu_v4IeKat3qPIRrq8SMKWnF40BWPtFRqPbqtKrq0TgmKqu7c-ySwtXZ-0Xuy2bh2P26uEuQmIFNzZCIAapmBqSM_-zn8x8ezwmv9i_fkxrfVtgNuy9cyjs-YWYObFyUaw5-0S4FwFPZ85dYUJ98ROvCXn9gcXonMqna6T0bCoaDZtlF4xtdmAxuBS4Gx-2eOG2txg0EwMUei4Gy-84wMECP6Wdg1lJEc4EDJTSk6O2f5EoNg-JVb7x3UYh4H8sj_EG1s81JnA0rQxnZgQlSIvI2_lxaXJnEDc1uIwlBpEvI&refId=47SaNTdiYW3wnMQlscUwOw%3D%3D&trackingId=3UAaKo3xN%2FlZkKEu118H1g%3D%3D&trk=flagship3_search_srp_jobs,0.6771,0.4245,SQL; English; ICT project management methodologies; statistics; data models; Python (computer programming); perform cleaning duties
2,Bioinformatics,Vilnius University,IT SUPPORTER with development opportunity in Data Integration,,Marijampolė,https://en.cvbankas.lt/it-supporter-with-development-opportunity-in-data-integration-marijampoleje/1-13685295,0.2803,0.3717,troubleshoot; English; Lithuanian; operating systems; environmental engineering; lead others; electronic communication; personal development; solve problems; interact verbally in Lithuanian
3,Bioinformatics,Vilnius University,"Youth LAB – Application Support intern | SEB Group, Vilnius",,Vilnius,https://en.cvbankas.lt/youth-lab-application-support-intern-seb-group-vilnius-vilniuje/1-13713017,0.2795,0.3573,English; communication; ICT project management methodologies; economics; brainstorm ideas; leasing process; assume responsibility
4,Bioinformatics,Vilnius University,BI programuotojas (-a),,Kaunas,https://en.cvbankas.lt/bi-programuotojas-a-kaune/1-13753903,0.2609,0.3432,SQL; communication; statistics; business intelligence
5,Bioinformatics,Vilnius University,"Youth LAB – Lending Services Vilnius | SEB Group, Vilnius",,Vilnius,https://en.cvbankas.lt/youth-lab-lending-services-vilnius-seb-group-vilnius-vilniuje/1-13713327,0.2396,0.3176,English; communication; ICT project management methodologies; economics; leasing process; assume responsibility; brainstorm ideas
6,Bioinformatics,Vilnius University,VYR. DUOMENŲ ANALITIKAS (-Ė),,Vilnius,https://en.cvbankas.lt/vyr-duomenu-analitikas-e-vilniuje/1-13739827,0.2085,0.3434,"SQL; database; data analytics; digitization; management department processes; think analytically; statistics; business intelligence; SQL Server; data extraction, transformation and loading tools"
7,Bioinformatics,Vilnius University,Junior Test Engineer (fixed-term contract),,Vilnius,https://en.cvbankas.lt/junior-test-engineer-fixed-term-contract-vilniuje/1-13768685,0.199,0.3719,English; communication; electronics; ICT project management methodologies; computer engineering; embedded systems; manage time; think creatively; develop strategy to solve problems
8,Bioinformatics,Vilnius University,Operational Excellence Partner,,Vilnius,https://en.cvbankas.lt/operational-excellence-partner-vilniuje/1-13557078,0.17,0.3438,English; Lithuanian; communication; show entrepreneurial spirit; think creatively; lean manufacturing; acoustics; cooperate with colleagues; data protection; work in teams
9,Bioinformatics,Vilnius University,OSINT Specialistas,,Vilnius,https://en.cvbankas.lt/osint-specialistas-vilniuje/1-13474247,0.1544,0.3442,Maltego; English; Polish; social sciences; risk management; work independently; Python (computer programming); cyber security; manage time
10,Bioinformatics,Vilnius University,SAP DATA Services Developer with verification,,"Vilnius, Vilniaus, Lithuania (Remote)",https://www.linkedin.com/jobs/view/4390914503/?eBP=CwEAAAGdXVTxFcI6g9hH53N1HLbm8qUIlDCF29qdU73aSnKw2A9Sm0OKg4wH1WUAV60u3dhjnQkze7yyqC8OEFvq91eR0kmqJg2F9SZgBy-P0l_zmfETpFkq7EO-iFmTiW0lQC6yfMwoTMijJbMFzdQlKLaeJpq-M-k8CYM61f7srpH_zkGA7_ZRru4Kzhvn1PSdxJCJq5jSve_PRB9Beni0IliEe8GgTy8tBCz9opPwsSievwfmSWA0FCFyh_TXiVZRcgT4mjCCpPSi36AtP-2FA3uN6prNDU3tolKpvnY0vmtulhj6BUoWYmPeBB1H_jeY849GGS1D0CpyEzazZLt54NP9bRVV-gtaUWujPp9BGT73-wQGvj4NktTMBrr8XjZnRWa0NHHbGBnv9Thh98ifEFRjhVxb8ztaftEHHQfaBDX9nCYY0T_7brNhqeOe4R5wZXX1Pay8S4S7UwG0SJxjQTxoL12iGaa1GUEZC1PE-oL8kZJ4sHR4OmKC3avjeXcVrsqxpKnpmsdCamYtX3BNMR_EowrEaFmIY5Sr9w&refId=8E32x5IjZ%2BhE0AVcGSKhpw%3D%3D&trackingId=sAoLzTehYU0i6vxN8a7ZUw%3D%3D&trk=flagship3_search_srp_jobs,0.1478,0.3382,"SAP Data Services; data extraction, transformation and loading tools; communication; SQL; migration; robotics; data models; think creatively; Polish; work independently"
1,Artificial intelligence,Kaunas University of Technology,MLOps engineer with expertise in Ray and Kubeflow vLLM SkyPikot on kubernetes,,Work from home,https://en.cvbankas.lt/mlops-engineer-with-expertise-in-ray-and-kubeflow-vllm-skypikot-on-kubernetes-darbas-namuose/1-13742747,0.5256,0.6256,artificial neural networks; distributed computing; ML (computer programming)
2,Artificial intelligence,Kaunas University of Technology,Programuotojas / AI (DI) inžinierius,,Vilnius,https://en.cvbankas.lt/programuotojas-ai-di-inzinierius-vilniuje/1-13706229,0.4254,0.594,SQL; work independently; solution deployment; tools for software configuration management
3,Artificial intelligence,Kaunas University of Technology,AI SOLUTIONS EXPERT (F/M/D),,Vilnius,https://en.cvbankas.lt/ai-solutions-expert-f-m-d-vilniuje/1-13705505,0.4184,0.5331,"unstructured data; Python (computer programming); assume responsibility; ML (computer programming); lead others; data extraction, transformation and loading tools; data engineering; SQL; data analytics; data models"
4,Artificial intelligence,Kaunas University of Technology,MID DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!,,Vilnius,https://en.cvbankas.lt/mid-di-inzinierius-e-prisijunk-prie-musu-komandos-ir-kurk-inovacijas-vilniuje/1-13699111,0.3677,0.5103,knowledge base; Python (computer programming); manage time; seek innovation in current practices; TypeScript; ML (computer programming); politics; demonstrate trustworthiness; DevOps; Jenkins (tools for software configuration management)
5,Artificial intelligence,Kaunas University of Technology,AI Engineer (Applied AI) with verification,,"Vilnius, Vilniaus, Lithuania (Hybrid)",https://www.linkedin.com/jobs/view/4354609788/?eBP=CwEAAAGdXU_3Lpjva5gehuwkyxZOOeCMBLNABZouwvt95moQqldkZj82d9MFxAibHKwvHcRydrXa6rtBTFPsNBV4zX_5A9KyNJf_-ofgUfq-YZy77hlw36EosJqJdYRk9kmsGtqraQU9QmeTS5B89rNfVK9JUwgH9JOInDbgeM7epx921DQd72SXaWo1M0sb7HPrANFJ8FeiSgJOGh6xnkYWXMiBHEXNBJAecBgWS__K1NYvsYF60BZMbiTaH_Fm_SaXOiAcdqqFCab_EOtkdZzXKLDlT-W5wJSMXMeTqBv0slR8E8kDATovomB-czBgotIfWw9P9QX5o2s3qOh9QNMYse5ipOuzs1PSB2z1LQ3vhmi-GmGjkSX-MNTAPOgg2fRDV8aFmuACRRT6zWk8hRzE0XZd-FYmj-XKmqo9Veo0dJ62XkYlmgHz8aSHlLU9FV4-GypB9bSK156pWGRrTqxwjjyRrbfPWrduFwS0Rf7o30kJlFxUrKo8awCgQca5ifXdmZIc2QR8EekFCC7YSUkcjXohNje0D35mC3QLNQ&refId=wk4fVenEURubDB1Ehtm5HQ%3D%3D&trackingId=t02SStjRfp6kvPP77%2BKNiw%3D%3D&trk=flagship3_search_srp_jobs,0.3378,0.6361,dies; ML (computer programming); Python (computer programming); assume responsibility
6,Artificial intelligence,Kaunas University of Technology,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,,Vilnius,https://en.cvbankas.lt/dirbtinio-intelekto-inziniere-ius-it-skyriuje-vilniuje/1-13749365,0.3333,0.6307,work in teams; think analytically; show entrepreneurial spirit
7,Artificial intelligence,Kaunas University of Technology,DIRBTINIO INTELEKTO IR AUTOMATIZACIJŲ VADOVAS (-Ė),,Vilnius,https://en.cvbankas.lt/dirbtinio-intelekto-ir-automatizaciju-vadovas-e-vilniuje/1-13752609,0.3018,0.5097,think analytically; assume responsibility; demonstrate curiosity; work in teams; show entrepreneurial spirit; Python (computer programming); improve business processes
8,Artificial intelligence,Kaunas University of Technology,IT specialistas procesų automatizavimui,,Kaunas,https://en.cvbankas.lt/it-specialistas-procesu-automatizavimui-kaune/1-13254683,0.2835,0.5003,Python (computer programming); improve business processes; migration; data models; negotiate compromises; show entrepreneurial spirit; business intelligence; work in teams; think analytically; SQL
9,Artificial intelligence,Kaunas University of Technology,Senior Data Engineer,,Vilnius,https://en.cvbankas.lt/senior-data-engineer-vilniuje/1-13750755,0.2787,0.4762,"Python (computer programming); data extraction, transformation and loading tools; database; data engineering; advise others; lead others; demonstrate curiosity"
