programme_id,programme_name,baseline_job,baseline_score,variant_job,variant_score,score_delta,changed
553,Cyber Systems and Security,IT Compliance & Process manager,0.2288,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.217,-0.0118,True
554,Multimedia design,IT inžinierius (-ė),0.2218,IT inžinierius (-ė),0.2218,0.0,False
555,Multimedia technology,Product Manager,0.2445,Product Manager,0.2543,0.0098,False
556,Multimedia Technologies,Gameplay Programmer,0.2779,Gameplay Programmer,0.2581,-0.0198,False
557,Multimedia Technologies,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.1791,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.182,0.0029,False
558,Digital technologies and cyber security,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1665,AI Engineer (Applied AI) with verification,0.2023,0.0358,True
559,Programming and Multimedia,PHP programuotojas (-a) | Mid / Strong Mid,0.3974,PHP programuotojas (-a) | Mid / Strong Mid,0.5043,0.1069,False
560,Software Systems,IT Compliance & Process manager,0.2443,IT Compliance & Process manager,0.2279,-0.0164,False
561,Software Systems,AI Engineer (Applied AI) with verification,0.1578,AI Engineer (Applied AI) with verification,0.1908,0.0329,False
562,Software Engineering,Join our team as a JUNIOR System Analyst!,0.2445,Join our team as a JUNIOR System Analyst!,0.2506,0.0062,False
563,Software Engineering,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2268,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2267,-0.0001,False
564,Software Engineering,Low-code programuotojas,0.4378,Low-code programuotojas,0.4378,0.0,False
