programme_id,programme_name,baseline_job,baseline_score,variant_job,variant_score,score_delta,changed
545,Information Systems Engineering,IT sistemų testuotojas (-a),0.1897,IT sistemų testuotojas (-a),0.2092,0.0195,False
546,Information Systems Engineering,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.4511,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.4511,0.0,False
547,Information System Engineering,SAP DATA Services Developer with verification,0.2041,SAP DATA Services Developer with verification,0.2467,0.0426,False
548,Information Systems Technology,Pardavimų inžinierius (-ė) KLAIPĖDA,0.2108,Pardavimų inžinierius (-ė) KLAIPĖDA,0.2342,0.0233,False
549,Informatics Engineering,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1373,SOC analitikas (-ė) kibernetinių grėsmių paieškai,0.1457,0.0083,True
550,Informatics engineering,IT inžinierius (-ė),0.2439,IT inžinierius (-ė),0.2823,0.0384,False
551,Informatics Engineering,PLV programuotojas,0.2138,PLV programuotojas,0.2643,0.0505,False
552,Informatics Engineering,Jaunesnysis telekomunikacijų inžinierius (-ė),0.4643,Jaunesnysis telekomunikacijų inžinierius (-ė),0.4521,-0.0122,False
553,Cyber Systems and Security,IT Compliance & Process manager,0.2288,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.2183,-0.0104,True
554,Multimedia design,IT inžinierius (-ė),0.2218,IT inžinierius (-ė),0.2218,0.0,False
555,Multimedia technology,Product Manager,0.2445,Product Manager,0.2544,0.0099,False
556,Multimedia Technologies,Gameplay Programmer,0.2779,Gameplay Programmer,0.2588,-0.0191,False
557,Multimedia Technologies,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.1791,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.1799,0.0008,False
558,Digital technologies and cyber security,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1665,AI Engineer (Applied AI) with verification,0.1946,0.0281,True
559,Programming and Multimedia,PHP programuotojas (-a) | Mid / Strong Mid,0.3974,PHP programuotojas (-a) | Mid / Strong Mid,0.4824,0.085,False
560,Software Systems,IT Compliance & Process manager,0.2443,IT Compliance & Process manager,0.2262,-0.0181,False
561,Software Systems,AI Engineer (Applied AI) with verification,0.1578,AI Engineer (Applied AI) with verification,0.1862,0.0283,False
562,Software Engineering,Join our team as a JUNIOR System Analyst!,0.2445,Join our team as a JUNIOR System Analyst!,0.2533,0.0088,False
563,Software Engineering,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2268,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2439,0.0171,False
564,Software Engineering,Low-code programuotojas,0.4378,Low-code programuotojas,0.4378,0.0,False
